SPBC4.07c	YDL007W
SPBC336.04	YDL102W
SPAC644.12	YMR213W
SPAC1565.08	YDL126C
SPAP8A3.08	YGL106W
SPCC16A11.17	YPR019W
SPBC11B10.09	YBR160W
SPBC582.03	YPR119W|YGR108W
SPAC27E2.05	YJR006W
SPCC31H12.08c	YAL021C
SPAC29A4.05	YBR109C
SPAC1D4.13	NONE
SPAC9.03c	YER172C
SPAC1071.06	YMR033W
SPAC23D3.09	YJL081C
SPAC630.03	YJR065C
SPAC11H11.06	YDL029W
SPBC14C8.06	YBR234C
SPBP23A10.04	YLR127C
SPBC428.20c	YNL126W
SPBC14F5.09c	YLR359W
SPBC32H8.12c	YFL039C
